Requirement,Ranking
The system shall display the online help upon request.,1
The system shall enable user to select the shipping method during payment process.,2
The system shall display detailed invoice for current order once it is confirmed.,4
The system shall optionally allow user to print the invoice.,5
The system shall provide shopping cart during online purchase.,3
The system shall allow user to add/remove products in the shopping cart.,6
The system shall allow user to add/remove products in the shopping cart.,8
The system shall display different shipping options provided by shipping department.,10
The system shall send an order confirmation to the user through email.,9
The system shall display the shipping charges.,7
